03022, [ 00128 ] ,회색 뼈다귀, = ,00070, ,하얀 뼈다귀, ( 1 개 ), + ,00071, ,검은 뼈다귀, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03023, [ 00129 ] ,보라색 뼈다귀, = ,00072, ,파란 뼈다귀, ( 1 개 ), + ,00073, ,붉은 뼈다귀, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03024, [ 00130 ] ,하늘색 뼈다귀, = ,00070, ,하얀 뼈다귀, ( 1 개 ), + ,00072, ,파란 뼈다귀, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03025, [ 00131 ] ,검붉은 뼈다귀, = ,00071, ,검은 뼈다귀, ( 1 개 ), + ,00073, ,붉은 뼈다귀, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03026, [ 00132 ] ,커피 젤리, = ,00086, ,목심 커피믹스, ( 1 개 ), + ,00116, ,젤리, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03027, [ 00133 ] ,녹차 젤리, = ,00087, ,티백 녹차, ( 1 개 ), + ,00116, ,젤리, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03028, [ 03133 ] ,돈들은 지갑, = ,00030, ,지갑, ( 1 개 ), + ,03017, ,촌지, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03029, [ 03134 ] ,석장, = ,00043, ,코걸이, ( 3 개 ), + ,00110, ,녹슬은 철봉, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03030, [ 03135 ] ,거미독액 부침, = ,00039, ,날개 가루, ( 1 개 ), + ,03062, ,거미 독액, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03031, [ 03136 ] ,식인식물잎 담배, = ,00009, ,식인식물의 잎사귀, ( 2 개 ), + ,00018, ,THAT, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03032, [ 06143 ] ,머리의 파마머리, = ,03079, ,머리의 머리카락, ( 1 개 ), + ,06028, ,옆집 아줌마의 파마머리, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03033, [ 06144 ] ,걸쭉한 독젤리, = ,03062, ,거미 독액, ( 1 개 ), + ,06126, ,걸쭉한 젤리, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03034, [ 06145 ] ,염소뿔 모자, = ,03041, ,뿔모자, ( 1 개 ), + ,03078, ,염소뿔, ( 2 개 ),,,,,,,,,,,,,,,,,,,,
03035, [ 06146 ] ,휴대용 화염방사기, = ,00032, ,헤어 스프레이, ( ? 개 ), + ,06101, ,ZAPPO 라이터, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03036, [ 06147 ] ,녹차, = ,00087, ,티백 녹차, ( 1 개 ), + ,06073, ,찻잔과 받침대, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03037, [ 06148 ] ,커피, = ,00086, ,목심 커피믹스, ( 1 개 ), + ,06073, ,찻잔과 받침대, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03038, [ 06149 ] ,만드라고라 차, = ,03055, ,만드라고라의 뿌리털, ( ? 개 ), + ,06073, ,찻잔과 받침대, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03039, [ 06150 ] ,서빙용 쟁반, = ,03004, ,찌그러진 서빙용 쟁반, ( 1 개 ), + ,03074, ,철판, ( 2 개 ),,,,,,,,,,,,,,,,,,,,
03040, [ 06151 ] ,사낙 비늘 철판, = ,03074, ,철판, ( 1 개 ), + ,03083, ,사낙의 비늘, ( 2 개 ),,,,,,,,,,,,,,,,,,,,
03041, [ 06152 ] ,호버링 죽마, = ,03037, ,죽마, ( 1 개 ), + ,06054, ,마종거의 가슴판, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03042, [ 06153 ] ,철코팅 마법서, = ,03074, ,철판, ( 1 개 ), + ,06102, ,두꺼운 마법서, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03043, [ 09114 ] ,전격 경찰봉, = ,06018, ,경찰봉, ( ? 개 ), + ,06034, ,전격 엑기스, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03044, [ 09115 ] ,카오스 클럽, = ,06107, ,카오스 프레쉬, ( 2 개 ), + ,06122, ,오우거 로드의 몽뎅이, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03045, [ 09116 ] ,펌프킨 버드, = ,00060, ,호박, ( 1 개 ), + ,06080, ,펌프킨 버드의 깃털, ( 2 개 ),,,,,,,,,,,,,,,,,,,,
03046, [ 09117 ] ,박살주, = ,06109, ,부드카, ( ? 개 ), + ,09069, ,뻑간데이 131, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03047, [ 09118 ] ,다이아몬드 발레 슈즈, = ,06103, ,발레 슈즈, ( 1 개 ), + ,09106, ,다이아몬드 조각, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03048, [ 09119 ] ,투명화 물약, = ,03095, ,검은 위액, ( 1 개 ), + ,09085, ,투명한 피, ( 2 개 ),,,,,,,,,,,,,,,,,,,,
03049, [ 09120 ] ,고블린 프린세스 크라운, = ,09016, ,프린세스 크라운, ( 1 개 ), + ,09045, ,고블린 크라운, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03050, [ 09121 ] ,하이 호버링 죽마, = ,03037, ,죽마, ( 1 개 ), + ,09080, ,하이메가 마종거 판넬, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03051, [ 09122 ] ,위액 살포기, = ,03095, ,검은 위액, ( 1 개 ), + ,09095, ,농약 살포기, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03052, [ 09123 ] ,근육 미사일, = ,06069, ,바스트 미사일, ( ? 개 ), + ,09083, ,근육 요정의 몸, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03053, [ 09124 ] ,쿠소한 무언가, = ,06036, ,저주받은 무언가, ( 1 개 ), + ,06108, ,쿠소 알약, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03054, [ 12048 ] ,버스트 프레임, = ,09039, ,불의 정령의 검, ( ? 개 ), + ,09100, ,화암, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03055, [ 12049 ] ,소울 석커, = ,03070, ,초대형 검, ( 1 개 ), + ,06067, ,에너지 에센스, ( 5 개 ),,,,,,,,,,,,,,,,,,,,
03056, [ 12050 ] ,헤어리 헤드 샌드위치, = ,03129, ,식빵, ( 1 개 ), + ,12006, ,페어리의 머리, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03057, [ 12051 ] ,사일런트 가디안, = ,09042, ,땅의 정령의 갑옷, ( 1 개 ), + ,09103, ,독암, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03058, [ 12052 ] ,팬더 코스튬, = ,00050, ,곰발바닥, ( ? 개 ), + ,09036, ,팬더 가죽, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03059, [ 15017 ] ,쿠소학 개론, = ,03103, ,문학 서적, ( ? 개 ), + ,12021, ,쿠소 에센스, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03060, [ 12053 ] ,그리폰 크로우, = ,03118, ,그리폰의 털, ( 2 개 ), + ,06121, ,그리폰 발톱, ( 5 개 ),,,,,,,,,,,,,,,,,,,,
03061, [ 00134 ] ,시한폭탄 담배, = ,00013, ,폭탄 심지, ( 1 개 ), + ,00018, ,THAT, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03062, [ 00135 ] ,수면 바게뜨, = ,00099, ,수면제, ( 1 개 ), + ,00111, ,바게뜨 빵, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03063, [ 00136 ] ,수면 사발면, = ,00091, ,육개장 작은 사발면, ( 1 개 ), + ,00099, ,수면제, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03064, [ 00137 ] ,30mm 나사, = ,00037, ,10mm 나사, ( 1 개 ), + ,00079, ,20mm 나사, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03065, [ 00138 ] ,60mm 베어링, = ,00038, ,20mm 베어링, ( 1 개 ), + ,00080, ,40mm 베어링, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03066, [ 00139 ] ,왕 돌 몽둥이, = ,00055, ,왕몽뎅이, ( 1 개 ), + ,00056, ,왕짱돌, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03067, [ 03137 ] ,십오겹살, = ,00106, ,삼겹살, ( 1 개 ), + ,03090, ,오겹살, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03068, [ 03138 ] ,엑토플라즘 사발면, = ,00081, ,무색의 엑토플라즘, ( 2 개 ), + ,00091, ,육개장 작은 사발면, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03069, [ 03139 ] ,불합격 통지 시계, = ,00125, ,자명종 시계, ( ? 개 ), + ,03106, ,불합격 통지서, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03070, [ 03140 ] ,롹 음악 시계, = ,00049, ,확음악 테이프, ( ? 개 ), + ,00125, ,자명종 시계, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03071, [ 06155 ] ,꾸질꾸질한 팬티, = ,03058, ,오우거의 팬티, ( 1 개 ), + ,03064, ,꾸질꾸질한 샅바, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03072, [ 06156 ] ,후까시 검은 로브, = ,00005, ,검은 로브, ( ? 개 ), + ,06115, ,후까시 옷, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03073, [ 06157 ] ,과학 기초 전과, = ,06124, ,국어의 정석, ( 1 개 ), + ,06125, ,정문 기초 수학, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03074, [ 09127 ] ,개고기 스시, = ,00094, ,스시, ( 2 개 ), + ,09059, ,개고기, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03075, [ 06161 ] ,얼음 바늘, = ,03147, ,쇠바늘, ( 1 개 ), + ,06033, ,얼음 엑기스, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03076, [ 03153 ] ,오이 젤리, = ,00116, ,젤리, ( 1 개 ), + ,00119, ,오이, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03077, [ 03154 ] ,오우거 가스, = ,03058, ,오우거의 팬티, ( ? 개 ), + ,03144, ,휴대용 가스, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03078, [ 03155 ] ,소뿔 랜스, = ,03107, ,초대형 랜스, ( 1 개 ), + ,03113, ,소뿔, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03079, [ 06172 ] ,곰쓸개 주스, = ,03049, ,곰쓸개, ( ? 개 ), + ,03142, ,믹서기, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03080, [ 06173 ] ,돈들은 미스좀비 가죽 지갑, = ,03089, ,미스 좀비가죽, ( ? 개 ), + ,03133, ,돈들은 지갑, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03081, [ 12065 ] ,투명피담긴 바께쓰, = ,09034, ,피담긴 바께쓰, ( ? 개 ), + ,09085, ,투명한 피, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03082, [ 03164 ] ,대나무 도마, = ,00089, ,대나무, ( 2 개 ), + ,00145, ,도마, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03083, [ 03165 ] ,초대형 식칼, = ,03070, ,초대형 검, ( 1 개 ), + ,03146, ,식칼, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03084, [ 03166 ] ,좀비가죽 드럼, = ,00064, ,좀비 가죽, ( 2 개 ), + ,03056, ,고블린 드럼, ( 2 개 ),,,,,,,,,,,,,,,,,,,,
03085, [ 03167 ] ,굴가죽 드럼, = ,00088, ,굴가죽, ( 2 개 ), + ,03056, ,고블린 드럼, ( 2 개 ),,,,,,,,,,,,,,,,,,,,
03086, [ 03168 ] ,짱돌넣은 장바구니, = ,00056, ,왕짱돌, ( 2 개 ), + ,00061, ,장바구니, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03087, [ 06182 ] ,매지컬 석장, = ,03047, ,마법사의 지팡이, ( 2 개 ), + ,03061, ,본 이어링, ( 3 개 ),,,,,,,,,,,,,,,,,,,,
03088, [ 06183 ] ,개털 운동화, = ,00016, ,개털, ( 5 개 ), + ,03011, ,육상선수의 운동화, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03089, [ 06184 ] ,츄발탕면, = ,03162, ,육개장 왕 사발면, ( 1 개 ), + ,06017, ,츄의 발바닥, ( 2 개 ),,,,,,,,,,,,,,,,,,,,
03090, [ 03174 ] ,개털박은 광부헬멧, = ,00016, ,개털, ( 5 개 ), + ,03039, ,광부 헬멧, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03091, [ 03175 ] ,개털박은 낚시모자, = ,00016, ,개털, ( 5 개 ), + ,03040, ,낚시 모자, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03092, [ 03177 ] ,왕거미 다리 천막, = ,00028, ,왕거미 다리, ( 8 개 ), + ,00114, ,돼지표 본드, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03093, [ 09152 ] ,에너지 하푼, = ,06067, ,에너지 에센스, ( 2 개 ), + ,06068, ,머메이드 하푼, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03094, [ 09154 ] ,본 링, = ,03061, ,본 이어링, ( 3 개 ), + ,09150, ,녹슨 동가락지, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03095,03190,THAT 채찍, = ,00018, ,THAT, ( 10 개 ), + ,00143, ,나일론 실, ( 2 개 ),,,,,,,,,,,,,,,,,,,,
03096,09175,인조 발, = ,06023, ,인조 발가락, ( 5 개 ), + ,09174, ,인조 발, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03097,03191,마늘 목걸이, = ,00044, ,마늘, ( ? 개 ), + ,00143, ,나일론 실, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03098, [ 03192 ] ,닭털 다트, = ,00034, ,닭의 깃털, ( 4 개 ), + ,03147, ,쇠바늘, ( 2 개 ),,,,,,,,,,,,,,,,,,,,
03099, [ 00165 ] ,적색 옷, = ,00063, ,흰옷, ( 1 개 ), + ,00154, ,적색 재, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03100, [ 00166 ] ,청색 옷, = ,00063, ,흰옷, ( 1 개 ), + ,00155, ,청색 재, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03101, [ 00167 ] ,녹색 옷, = ,00063, ,흰옷, ( 1 개 ), + ,00156, ,녹색 재, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03102, [ 00168 ] ,황색 옷, = ,00063, ,흰옷, ( 1 개 ), + ,00157, ,황색 재, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03103, [ 00169 ] ,철심박은 바게뜨 빵, = ,00110, ,녹슬은 철봉, ( 1 개 ), + ,00111, ,바게뜨 빵, ( 5 개 ),,,,,,,,,,,,,,,,,,,,
03104, [ 09182 ] ,고급 마술서, = ,06102, ,두꺼운 마법서, ( 1 개 ), + ,06213, ,중급 마술서, ( 3 개 ),,,,,,,,,,,,,,,,,,,,
03105,03196,롹 시계폭탄, = ,03140, ,롹음악 시계, ( ? 개 ), + ,03148, ,빨강 구슬 폭탄, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03106,03198,검은 먼지 연막탄, = ,03149, ,연막탄, ( ? 개 ), + ,03178, ,검은 먼지, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03107,06216,바늘 황제몽뎅이, = ,03147, ,쇠바늘, ( ? 개 ), + ,03199, ,황제몽뎅이, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03108,06217,금가루 넣은 오이 젤리, = ,03153, ,오이젤리, ( ? 개 ), + ,06127, ,금판, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03109, [ 03200 ] ,양파 젤리, = ,00116, ,젤리, ( 1 개 ), + ,00141, ,양파, ( 3 개 ),,,,,,,,,,,,,,,,,,,,
03110,00170,파파마, = ,00091, ,육개장 작은 사발면, ( ? 개 ), + ,00142, ,대파, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03111, [ 09185 ] ,네코미미, = ,00017, ,고양이털, ( 10 개 ), + ,09007, ,츄의 귀, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03112,03202,속빈알, = ,00007, ,알껍질, ( ? 개 ), + ,00114, ,돼지표 본드, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03113,06222,비루 차, = ,00126, ,비루 가루, ( ? 개 ), + ,06073, ,찻잔과 받침대, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03114,18008,생명의 구슬, = ,12107, ,단명의 구슬, ( ? 개 ), + ,18007, ,장명의 구슬, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03115,09190,사탄의 곰인형, = ,06036, ,저주받은 무언가, ( ? 개 ), + ,06083, ,봉제 곰인형, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03116,03203,철 바가지, = ,00066, ,바가지, ( ? 개 ), + ,03074, ,철판, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03117,09191,금 바가지, = ,03203, ,철바가지, ( ? 개 ), + ,06127, ,금판, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03118,12110,다이아 바가지, = ,09096, ,다이아 판, ( ? 개 ), + ,09191, ,금 바가지, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03119,06223,돌피 팔(소), = ,03160, ,돌피다리(소), ( ? 개 ), + ,06092, ,돌피 팔, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03120, [ 03204 ] ,다부쳐 Z, = ,00081, ,무색의 엑토플라즘, ( 5 개 ), + ,00114, ,돼지표 본드, ( 2 개 ),,,,,,,,,,,,,,,,,,,,
03121,03205,연필 스피어, = ,00002, ,소학생의 연필, ( ? 개 ), + ,00114, ,돼지표 본드, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03122, [ 03231 ] ,철도마, = ,00145, ,도마, ( 1 개 ), + ,03074, ,철판, ( 2 개 ),,,,,,,,,,,,,,,,,,,,
03123,06249,금도마, = ,00145, ,도마, ( ? 개 ), + ,06127, ,금판, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03124,09236,다이아 도마, = ,00145, ,도마, ( ? 개 ), + ,09096, ,다이아 판, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03125, [ 09238 ] ,왕짱돌 새총, = ,00056, ,왕짱돌, ( 4 개 ), + ,09232, ,새총, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03126,09239,마그마데이 262, = ,06240, ,용암액, ( ? 개 ), + ,09069, ,뻑간데이 131, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03127,06252,오리할콘 십자가, = ,03042, ,은십자가, ( ? 개 ), + ,03210, ,오리할콘 조각, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03128, [ 03233 ] ,대나무 장바구니, = ,00061, ,장바구니, ( 1 개 ), + ,00089, ,대나무, ( 5 개 ),,,,,,,,,,,,,,,,,,,,
03129, [ 09241 ] ,언홀리 코팅 연고, = ,03219, ,이블 시드, ( 2 개 ), + ,09160, ,홀리 코팅 연고, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03130, [ 09242 ] ,검은 네코미미, = ,03216, ,검은 엑토플라즘, ( 2 개 ), + ,09185, ,네코미미, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03131,06256,돌피 다리 구이, = ,03086, ,돌피 다리, ( ? 개 ), + ,03152, ,후라이팬, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03132, [ 03238 ] ,매지컬 수리검, = ,00146, ,철 수리검, ( 5 개 ), + ,03015, ,초급 마술서, ( 2 개 ),,,,,,,,,,,,,,,,,,,,
03133, [ 00184 ] ,오이면, = ,00027, ,말라비틀어진 오이, ( 3 개 ), + ,00091, ,육개장 작은 사발면, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03134, [ 06258 ] ,파이어 엘레멘트 클로스, = ,00165, ,적색 옷, ( 2 개 ), + ,06059, ,화옥, ( 2 개 ),,,,,,,,,,,,,,,,,,,,
03135, [ 06259 ] ,워터 엘레멘트 클로스, = ,00166, ,청색 옷, ( 2 개 ), + ,06060, ,수옥, ( 2 개 ),,,,,,,,,,,,,,,,,,,,
03136, [ 06260 ] ,라이트닝 엘레멘트 클로스, = ,00167, ,녹색 옷, ( 2 개 ), + ,06061, ,뇌옥, ( 2 개 ),,,,,,,,,,,,,,,,,,,,
03137, [ 06261 ] ,어스 엘레멘트 클로스, = ,00168, ,황색 옷, ( 2 개 ), + ,06062, ,독옥, ( 2 개 ),,,,,,,,,,,,,,,,,,,,
03138,03240,유리 솜, = ,00180, ,뻑뻑한 솜, ( ? 개 ), + ,03006, ,유리 구슬, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03139,09250,다이아 목줄, = ,03207, ,무쇠목줄, ( ? 개 ), + ,09106, ,다이아몬드 조각, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03140, [ 03242 ] ,가위, = ,00112, ,고철, ( 3 개 ), + ,03052, ,이나간 칼날, ( 2 개 ),,,,,,,,,,,,,,,,,,,,
03141, [ 03243 ] ,뺀찌, = ,00053, ,손때묻은 칼손잡이, ( 2 개 ), + ,00112, ,고철, ( 2 개 ),,,,,,,,,,,,,,,,,,,,
03142, [ 06263 ] ,금가위, = ,03242, ,가위, ( 2 개 ), + ,06127, ,금판, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
03143,09253,리빙 페이퍼 돌, = ,03242, ,가위, ( ? 개 ), + ,06037, ,살아있는 페이지, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03144,00185,마늘죽, = ,00044, ,마늘, ( ? 개 ), + ,00121, ,호박죽, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03145, [ 09254 ] ,다이아 뺀찌, = ,03243, ,뺀찌, ( 1 개 ), + ,09096, ,다이아 판, ( 2 개 ),,,,,,,,,,,,,,,,,,,,
03146,09255,저주의 종이 인형, = ,06036, ,저주받은 무언가, ( ? 개 ), + ,09253, ,리빙 페이퍼 돌, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03147,09256,저주인형, = ,06083, ,봉제 곰인형, ( ? 개 ), + ,09255, ,저주의 종이 인형, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03148,12173,츄뇌 주스, = ,03142, ,믹서기, ( ? 개 ), + ,12137, ,츄의 뇌, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03149,12174,다이아 팬티, = ,09096, ,다이아 판, ( ? 개 ), + ,09145, ,강철 팬티, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03150, [ 09257 ] ,빛나는 부채, = ,03182, ,빛나는 깃털, ( 3 개 ), + ,06136, ,닭털 부채, ( 2 개 ),,,,,,,,,,,,,,,,,,,,
03151,03245,곰털 로브, = ,00005, ,검은 로브, ( ? 개 ), + ,00051, ,곰털, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03152,12177,나노 쉬프터, = ,09225, ,쉬프트 기어, ( ? 개 ), + ,12002, ,나노 제너레이터, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03153,06266,라이프 시드, = ,06004, ,천사의알의 액, ( ? 개 ), + ,06026, ,숲 엑기스, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03154,09260,힐링 시드, = ,03033, ,오크용 응급치료 가루, ( ? 개 ), + ,06266, ,라이프 시드, ( ? 개 ),,,,,,,,,,,,,,,,,,,,
03155, [ 03247 ] ,뼈호미, = ,00041, ,호미, ( 2 개 ), + ,00069, ,뼈다귀, ( 2 개 ),,,,,,,,,,,,,,,,,,,,
03156, [ 03248 ] ,종이반죽 그릇, = ,00012, ,찢어진 신문지, ( 5 개 ), + ,00081, ,무색의 엑토플라즘, ( 2 개 ),,,,,,,,,,,,,,,,,,,,
03157, [ 00186 ] ,붉은 띠, = ,03224, ,붉은 로브, ( 1 개 ), + ,03242, ,가위, ( 1 개 ),,,,,,,,,,,,,,,,,,,,
